Store Number,Store Name
2106,Hillstreet News and Tobacco
2113,Jamboree Foods
2130,Sycamore Convenience
2132,Spirits and Such
2152,Dugans Supermarket
2161,Huber's Store Inc.
2178,"Double ""D"" Liquor Store"
2190,"Central City Liquor, Inc."
2191,Keokuk Spirits
2200,Sac Liquor Store
2205,Ding's Honk And Holler
2228,Rodgers Spirits and More
2233,Forbes Liquor Locker / remi
2238,Adventureland Inn
2248,Ingersoll Liquor and Beverage
2260,"Spirits And Ale, Inc."
2285,John's Grocery
2290,Al's Liquors Unlimited
2327,West Side Spirits
2353,Cresco Liquor Store
2367,Spencer's Grocery
2413,Beecher Beverage
2422,Marriott Corp.
2445,Ruback's Food Center
2448,Bottle Boutique
2459,Reinhart Foods
2460,"Liquor Barn, Inc."
2465,Sid's Beverage Shop
2475,"Private Cellar, Inc."
2478,Prairie Meadows
2487,Anamosa Family Foods
2498,Charley's Quik Shop
2500,Hy-Vee Food Store #1 / Ames
2501,Hy-Vee  #2 / Ames
2502,Hy-Vee Wine and Spirits / Ankeny
2503,Hy-Vee Drugstore / Ankeny
2505,Hy-Vee Wine and Spirits / Boone
2506,Hy-Vee #1044 / Burlington
2507,Hy-Vee Food Store #1 / Burlington
2508,Hy-Vee Food Store #1 / Cedar Rapids
2509,Hy-Vee / Drugtown #1 / Cedar Rapids
2510,Hy-Vee Drugstore #3 / Cedar Rapids
2511,Hy-Vee / Drugtown #2 / Cedar Rapids
2512,Hy-Vee Wine and Spirits / Iowa City
2513,Hy-Vee Food Store #2 / Iowa City
2514,Hy-Vee Drugstore / Marion
2515,Hy-Vee Food Store #1 / Mason City
2517,Hy-Vee Food Store #1 / Newton
2518,Hy-Vee Wine and Spirits / Red Oak
2521,Hy-Vee Food and Drug / Grand / WDM
2522,Hy-Vee Wine and Spirits / Spirit Lake
2523,Hy-Vee Food Store / Centerville
2524,Hy-Vee Food Store / Dubuque
2527,Hy-Vee Food Store #5 / Des Moines
2528,Hy-Vee Food Store #3 / Des Moines
2529,Hy-Vee Drugstore #4 / Cedar Rapids
2532,Hy-Vee Food Store #2 / Des Moines
2534,Hy-Vee Drugtown / Urbandale
2535,Hy-Vee Food Store #1 / WDM
2536,HY-VEE / PLEASANT HILL
2537,Hy-Vee Drugstore / Fort Dodge
2538,Hy-Vee Food Store #3 / Waterloo
2539,Hy-Vee Food Store / iowa Falls
2543,Hy-Vee Food Store #1 / Ottumwa
2544,Hy-Vee Food Store / Marshalltown
2545,Hy-Vee Drugstore / Iowa City
2548,Hy-Vee Food Store / Altoona
2549,Hy-Vee Food Store / Indianola
2550,Hy-Vee Food Store / Osceola
2551,Hy-Vee Food Store / Chariton
2552,Hy-Vee Food Store #3 / Cedar Rapids
2553,Hy-Vee Food Store / Creston
2554,Hy-Vee Food Store / Davenport
2555,Hy-Vee Food Store / Keokuk
2556,Hy-Vee Wine and Spirits / Estherville
2558,Hy-Vee Food Store / Mount Pleasant
2559,Hy-Vee Food Store / Albia
2560,Hy-Vee Food Store / Marion
2561,Hy-Vee Food Store / Fleur / DSM
2562,Hy-Vee Food Store / Fort Dodge
2564,Hy-Vee Food Store #4 / Waterloo
2565,Hy-Vee Food Store / Spencer
2566,Hy-Vee Food Store / Knoxville
2567,Hy-Vee Drugstore / Davenport
2568,Hy-Vee Food Store #4 / Cedar Rapids
2569,Hy-Vee Food Store #2 / Cedar Rapids
2571,Hy-Vee Food Store #2 / Waterloo
2572,Hy-Vee Food Store / Cedar Falls
2573,Hy-Vee Food Store / Muscatine
2575,Hy-Vee Food Store #1 / Waterloo
2576,Hy-Vee Wine and Spirits / Storm Lake
2578,Hy-Vee / Charles City
2579,Hy-Vee Food Store / Grinnell
2582,Hy-Vee #2 Food Store / Mason City
2583,Hy-Vee Food Store / Washington
2584,Hy-Vee Food Store / Fort Madison
2585,Hy-Vee Wine and Spirits / Algona
2587,Hy-Vee Food Store / Johnston
2588,Hy-Vee Food and Drug #6 / Cedar Rapids
2590,Hy-Vee Food Store #5 / Cedar Rapids
2591,Hy-Vee Wine and Spirits / Atlantic
2592,Hy-Vee Drugstore / Marshalltown
2593,Hy-Vee Food Store / Carroll
2594,Hy-Vee Food Store / Sioux City
2595,Hy-Vee Wine and Spirits / Denison
2596,Hy-Vee / Regal Liquors and Video
2597,Hy-Vee Food Store / Cherokee
2599,Hy-Vee Wine and Spirits / Coralville
2600,Hy-Vee Food Store / Oskaloosa
2601,Hy-Vee Food Store / Fairfield
2602,Hy-Vee Food Store / Webster City
2603,Hy-Vee Wine and Spirits / Bettendorf
2604,Hy-Vee Wine and Spirits / Lemars
2605,Hy-Vee Drugstore #5 / Cedar Rapids
2606,Hy-Vee Wine and Spirits / Humboldt
2607,Hy-Vee Wine and Spirits / Shenandoah
2609,Hy-Vee Drugstore #2 / Ames
2611,Hy-Vee Drugstore / Ottumwa
2612,Hy-Vee Store / Perry
2613,Hy-Vee Food Store #1 / Council Bluffs
2614,Hy-Vee #3 Food and Drugstore
2616,Hy-Vee Food and Drug / Clinton
2618,Hy-Vee Drugstore #6 / Cedar Rapids
2619,Hy-Vee Wine and Spirits / WDM
2620,Hy-Vee / Windsor Heights
2621,Hy-Vee Food Store #3 / Sioux City
2622,Hy-Vee Food Store / Iowa City
2623,Hy-Vee Food Store #4 / Sioux City
2624,Hy-Vee #2 / Dubuque
2625,Hy-Vee Wine and Spirits #2
2626,Hy-Vee Drugstore / University / DSM
2627,Hy-Vee Wine and Spirits #1
2628,Hy-Vee Food Store / Eldora
2629,Hy-Vee Food Store #2 / Council Bluffs
2630,Hy-Vee Drugstore #2 / WDM
2633,Hy-Vee #3 / BDI / Des Moines
2634,Hy-Vee Wine and Spirits / Ames
2635,Hy-Vee #4 / Davenport
2636,Hy-Vee Wine and Spirits / Hubbell
2637,Hy-Vee #5 / Davenport
2638,Hy-Vee Wine and Spirits / Cedar Fall
2641,Hy-Vee Drugstore / Council Bluffs
2642,Hy-Vee Wine and Spirits / Pella
2643,Hy-Vee Wine and Spirits / Waterloo
2644,Hy-Vee Fort Dodge Wine and Spirits
2645,Hy-Vee Drugstore / Muscatine
2647,Hy-Vee #7 / Cedar Rapids
2648,Hy-Vee #4 / WDM
2649,Hy-Vee #3 / Dubuque
2650,Hy-Vee Wine and Spirits / Harlan
2651,Hy-Vee / Waverly
2652,Hy-Vee DrugStore / Mason City
2653,Hy-Vee Wine and Spirits / Washington
2655,Hy-Vee Food Store / Clarinda
2656,Hy-Vee Food Store / Corning
2657,Hy-Vee Food Store / Bedford
2658,Hy-Vee Food Store / Mount Ayr
2659,Hy-Vee Food Store / Corydon
2660,HY-VEE FOOD STORE / SIOUX CENTER
2661,Hy-Vee Food Store / Sheldon
2662,Hy-Vee Wine & Spirits / Muscatine
2663,Hy-Vee / Urbandale
2664,Hy-Vee C-Store / Charles City
2665,Hy-Vee / Waukee
2666,Hy-Vee #2 / Ankeny
2667,Hy-Vee Mainstreet
2668,Hy-Vee Food Store / Leon
2669,Hy-Vee / Corydon
2670,Hy-Vee Food Store / Coralville
2671,Hy-Vee  /  Jefferson
2672,Hy-Vee / Winterset
2806,Osco #881 / Clinton
2835,CVS Pharmacy #8538 / Cedar Falls
2836,CVS Pharmacy #8546 / Waterloo
2837,CVS Pharmacy #8544 / Waterloo
2838,CVS Pharmacy #8658 / Davenport
2839,CVS Pharmacy #8659 / Davenport
2840,CVS Pharmacy #8633 / Bettendorf
2841,CVS Pharmacy #8532 / Cedar Rapids
2843,CVS Pharmacy #8526 / Cedar Rapids
2844,CVS Pharmacy #8547 / Iowa City
2845,CVS Pharmacy #4816 / Council Bluffs
2846,CVS Pharmacy #8443 / Cedar Rapids
2847,CVS Pharmacy #10032 / Marion
2848,CVS Pharmacy #10114 / Ankeny
2849,CVS Pharmacy #10162 / Des Moines
2850,CVS / Pharmacy #10161 / Des Moines
2851,CVS / Pharmacy #10282 / Fort Dodge
2852,CVS Pharmacy #10329 / Merle Hay
2853,CVS Pharmacy #10452  /  Ames
2854,CVS / Pharmacy #10480 / Urbandale
2951,Dahl's / Hickman
2953,Dahl's / E. Euclid
2954,Dahl's / Ingersoll
2955,Dahl's / Beaver
2956,Dahl's / Fleur Dr
2958,Dahl's / E 33rd
2959,Dahl's / Merle Hay
2960,Dahl's / Wdm
2961,Dahl's / Ep True / Wdm
2962,Dahl's / Johnston
2963,Dahl's / Clive
2964,Dahl's / Ankeny
3003,Super Valu / Mark's
3013,Keith's Foods
3016,Super Valu / bender's
3041,Shugar's Super Valu / Colfax
3045,Britt Food Center
3054,Mcnally's Super Valu
3056,Clarion Super Valu Ii
3064,Shugar's Super Valu / Adel
3065,Montezuma Super Valu
3162,Nash Finch / Wholesale Food
3172,Nash Finch / econofoods #51
3352,Cork 'n' Bottle
3354,Sam's Club 8238 / Davenport
3385,Sam's Club 8162 / Cedar Rapids
3390,Okoboji Avenue Liquor
3393,The Hangout Liquors
3400,Last Stop Beverage Shop
3403,Econ-o-mart / Columbus Junction
3417,Big G Food Store
