City,Population
Ackley,1560
Ackworth,86
Adair,728
Adel,4245
Afton,829
Agency,641
Ainsworth,571
Akron,1450
Albert City,688
Albia,3829
Albion,476
Alburnett,695
Alden,764
Alexander,170
Algona,5470
Alleman,443
Allerton,495
Allison,1029
Alta,1936
Alta Vista,261
Alton,1264
Altoona,16984
Alvord,193
Ames,65060
Anamosa,5469
Andover,100
Andrew,422
Anita,956
Ankeny,56764
Anthon,569
Aplington,1079
Arcadia,471
Archer,127
Aredale,74
Arion,107
Arispe,99
Arlington,410
Armstrong,889
Arnold's Park,1234
Arthur,204
Asbury,5291
Ashton,430
Aspinwall,40
Atalissa,306
Atkins,1795
Atlantic,6833
Auburn,314
Audubon,2017
Aurelia,992
Aurora,171
Avoca,1504
Ayrshire,140
Badger,550
Bagley,296
Baldwin,106
Balltown,65
Bancroft,710
Bankston,25
Barnes City,174
Barnum,190
Bassett,65
Batavia,516
Battle Creek,695
Baxter,1103
Bayard,456
Beacon,480
Beaconsfield,15
Beaman,192
Beaver,48
Bedford,1415
Belle Plaine,2475
Bellevue,2176
Belmond,2314
Bennett,394
Benton,43
Berkley,32
Bernard,109
Bertram,300
Bettendorf,35505
Bevington,62
Birmingham,433
Blairsburg,212
Blairstown,670
Blakesburg,286
Blanchard,37
Blencoe,217
Blockton,191
Bloomfield,2617
Blue Grass,1676
Bode,293
Bonaparte,419
Bondurant,4996
Boone,12692
Bouton,134
Boxholm,197
Boyden,708
Braddyville,155
Bradgate,84
Brandon,307
Brayton,119
Breda,475
Bridgewater,172
Brighton,659
Bristow,160
Britt,1973
Bronson,323
Brooklyn,1420
Brunsville,148
Buck Grove,43
Buckeye,108
Buffalo,1299
Buffalo Center,895
Burlington,25410
Burt,511
Bussey,410
Calamus,414
Callender,365
Calmar,960
Calumet,169
Camanche,4341
Cambridge,821
Cantril,220
Carbon,32
Carlisle,4168
Carpenter,108
Carroll,9968
Carson,816
Carter Lake,3791
Cascade,2271
Casey,402
Castalia,168
Castana,137
Cedar Falls,41255
Cedar Rapids,130405
Center Junction,111
Center Point,2521
Centerville,5372
Central City,1269
Centralia,130
Chariton,4214
Charles City,7455
Charlotte,370
Charter Oak,492
Chatsworth,80
Chelsea,261
Cherokee,5030
Chester,125
Chillicothe,96
Churdan,369
Cincinnati,345
Clare,142
Clarence,970
Clarinda,5418
Clarion,2767
Clarksville,1409
Clayton,42
Clear Lake,7590
Clearfield,347
Cleghorn,227
Clemons,150
Clermont,609
Clinton,26064
Clio,80
Clive,17419
Clutier,209
Coburg,40
Coggon,659
Coin,184
Colesburg,397
Colfax,2051
College Springs,208
Collins,483
Colo,861
Columbus City,371
Columbus Junction,1860
Colwell,72
Conesville,418
Conrad,1100
Conway,41
Coon Rapids,1269
Coppock,47
Coralville,20608
Corning,1537
Correctionville,811
Corwith,269
Corydon,1589
Cotter,47
Coulter,271
Council Bluffs,62597
Craig,87
Crawfordsville,269
Crescent,630
Cresco,3833
Creston,7854
Cromwell,106
Crystal Lake,245
Cumberland,253
Cumming,397
Curlew,57
Cushing,223
Cylinder,86
Dakota City,813
Dallas Center,1792
Dana,69
Danbury,342
Danville,936
Davenport,102582
Davis City,195
Dawson,138
Dayton,798
De Soto,1089
De Witt,5242
Decatur City,188
Decorah,7907
Dedham,263
Deep River,270
Defiance,279
Delaware,156
Delhi,471
Delmar,502
Deloit,264
Delphos,25
Delta,317
Denison,8334
Denver,1835
Derby,113
Des Moines,210330
Dexter,630
Diagonal,328
Dickens,182
Dike,1289
Dixon,248
Dolliver,64
Donahue,369
Donnellson,901
Doon,591
Dougherty,56
Dow City,499
Dows,514
Drakesville,186
Dubuque,58799
Dumont,627
Duncombe,394
Dundee,170
Dunkerton,842
Dunlap,977
Durango,24
Durant,1816
Dyersville,4204
Dysart,1354
Eagle Grove,3419
Earlham,1405
Earling,425
Earlville,790
Early,532
East Peru,122
Eddyville,1012
Edgewood,867
Elberon,193
Eldon,915
Eldora,2702
Eldridge,6232
Elgin,649
Elk Horn,638
Elk Run Heights,1134
Elkader,1213
Elkhart,742
Elkport,36
Elliott,328
Ellston,42
Ellsworth,509
Elma,539
Ely,2074
Emerson,425
Emmetsburg,3811
Epworth,1955
Essex,770
Estherville,6011
Evansdale,4812
Everly,581
Exira,788
Exline,157
Fairbank,1117
Fairfax,2497
Fairfield,9892
Farley,1691
Farmersburg,277
Farmington,649
Farnhamville,359
Farragut,439
Fayette,1491
Fenton,263
Ferguson,127
Fertile,372
Floris,140
Floyd,328
Fonda,607
Fontanelle,636
Forest City,4018
Fort Atkinson,336
Fort Dodge,24649
Fort Madison,10717
Fostoria,240
Franklin,139
Fraser,103
Fredericksburg,922
Frederika,181
Fredonia,239
Fremont,729
Fruitland,977
Galt,31
Galva,432
Garber,85
Garden Grove,205
Garnavillo,726
Garner,3107
Garrison,363
Garwin,508
Geneva,161
George,1055
Gibson,60
Gilbert,1116
Gilbertville,747
Gillett Grove,48
Gilman,504
Gilmore City,491
Gladbrook,890
Glenwood,5253
Glidden,1127
Goldfield,608
Goodell,135
Goose Lake,235
Gowrie,999
Graettinger,811
Graf,78
Grafton,253
Grand Junction,789
Grand Mound,617
Grand River,225
Grandview,534
